ccaa_cd,zbs_residencia_cd,grupo_edad_cd,sexo_cd,tsi_cd,n_poblacion
YwaVWEIeNmbPrGGhjfaz,tSMhhTiqlCsZiXzmUOqb,10,0,7,3345
YdCyFeEoCHzsmWxBbAah,VwQggsmlwvqREtJuyqzk,4,1,3,8191
ytcEiChWOXhpcoPjiXiR,nlzBfpIpGqqPiSSkrbTi,16,2,3,3293
cusrQyOyQTwOQpgjwgBR,GlnoXhivgTnFbyHAVlDc,11,2,5,6445
zQIHrKQiVoiRLPxducob,jsYvPUloEAGuAccoEeCC,7,9,2,2888
AeWKqXdndwkuKUAQsSAK,nfunuoyQTveMkxVIphgm,16,0,6,9661
jEpQBzOCrgGWRdqaJHNh,KWmaRkLbsGsPShkwcOoA,13,9,3,7377
lwMkQtTXBVvJSRenvSof,qbNfhPSBHbCVyQwdZdDu,6,2,6,1911
tlLEcTwOiqduwJyuyotF,VGcKtkYDVlchjlysqUbD,4,2,0,2491
kAWxIIPLIftPdhVEYNZp,HQtMKMTBGmrgBPbSObDg,4,9,4,9476
JrXpkQoBFrrqnNECQnhb,FobLJVSYaYocGwYYIrJB,9,1,5,8557
bZYIZAwAdNpKVlAHQJrD,SlRHUpXwgNNmheADJzrL,4,1,0,9405
izWXhBGhXmiAAOSqKDBF,rvroMeHaWjCDxyBQNeik,7,2,6,5140
xtWNJUFdlPsWJtzcxepW,kdhnqJGtuQSTcxZPUdmj,9,1,5,3241
hJHKPSstjHlkZGLAgVHc,gugBjUUFZSDhIKFzzfeD,4,0,5,1437
VyFtuOmaqZgFSBEBqsWL,djoIiwepNRfEaajbLkld,13,9,1,8212
HxVTYCvjoTjXESBNERAL,UsHkCbSQdKOeJxRPprmM,6,2,0,9442
PtfJSRgOzCgOmKrXKsCj,hNdgqjNCxsVTWSCElMaj,2,1,7,7561
yWWqwBCZekFrtKkbYqfc,CbVwglBTcccwnoeXCbbA,2,0,8,6215
JwrYWLUiYaFVVKWFiVkx,XZZqyTpoThcaNjjgimrK,6,2,5,5065
xArnUuJzmoYVimXVsCwx,mMfQyjLUKkLrduQjCSOg,7,1,4,4641
COLLdmHLzOXKRrQAPJpO,IIgCPCWwdSxepaYGyZDp,1,9,4,6550
PAhtjhpzPFnVXSyTiPlm,OOXeFWQgVYLLDOVtjzLf,16,0,2,8195
dQQRDhulDhlLGJAsjlCa,fshsPSFXgIbYDLnBOElE,10,2,4,2330
swJavvXHANOODpEbKgYD,MUOFgBopUMeoOhcuAYVf,10,1,7,8303
NukwfvSFVLOMldtgJbAP,UZjwxzDvnULFqLbdZpfA,8,2,4,3720
LacXbNTlGDUmxnvMBapI,NpEidWSJMOMZndHFcrSh,17,0,7,2530
XEVKHGFVwwroeURMDrBF,ARzNIQsafHrjTTvgpuiD,17,1,5,6513
IvwjfUrEYjAuqAHXHrLF,EXJkwLhUYsntYFVPCaEo,2,2,5,3692
nTdVxFabFfIKjDnRNQqW,HuHWEZXYyBPdTHtzaVpd,7,0,4,4966
bDrCMeOWOaeRCrJQFaxl,ktQKPSbwWGFGYwgSKgTw,18,2,8,8505
sruKbgsMfniGDzePNJRv,ATdtODLKBPvFdAdViQEJ,15,2,8,7122
qCGDKiwzhAyDpohgZIZn,FhtGlmzsMenflphGAGec,4,0,1,4964
qpiGYxntcsOKabFjQYHJ,xTtxlPmbAezvlfpnQDso,10,2,2,9445
PqWVvWxAXGrkXquswuWJ,MUJhzLooSdczLlfJEvgo,8,9,6,5024
nWFxsAWjtxVROgtWvFnq,OEShMfgVylLNjgyfOjeX,8,0,3,824
wqIGQLDjxNxixzIRdplg,FMQMsBQrTuoICrzVWyjn,16,0,4,5369
WEjYTtpEwyXDNXeZYSfh,fslnnqMCSDNniWAidLZQ,1,9,0,7801
gyTTbOkqnVwZpslqkpMB,VUWznFzbnOFpJMWvIKEI,1,2,1,8992
ZBMnXJjFcrAFxgeIHBfq,IgaZFeuxezFzhkcUzaRF,17,9,4,2547
WnYtvblHDOddtLzHaQGJ,uDPUAYLpCWkBaAUKBntE,3,1,8,692
SPgoCXnpPdMpIryHbvUM,XKfxDGYWCUesRJwiVIKf,8,1,8,5272
lLOaUBHyoMZEcFvXxZUc,amvZlUwAEeNfmEdfRCVu,3,9,8,3332
GnkFVPbHMrWYegxbuuQN,AnirDunsxShVMTmXGGKM,12,1,3,6116
MIQrdvvIxYIAsAXDqYDz,TsixFGDhmepblPPLHiOb,12,2,1,3566
SnsyYhXToSVTxEneERyq,WXOJfxWqcXUWIgnThmrF,6,0,2,1945
BfCmkeQOLSPKkRZTNHso,kTsRrXOJfHDJPccTOIYb,7,1,4,6805
AHcycbfUjBwFQizdYekx,MCoqkcjqNygvBCHaJtnc,17,9,6,6870
xfIuVodXbBqThnJBqmxB,SQneAAPsuXkeJnMGZSGP,3,1,8,7438
WugVQKdEumUNQjhWJapB,oGlPxNHQlUrrJlmWRWPf,8,1,5,6292
gDpqxmNCwgqhPrjknsPH,wvlOCAYOYChPPmHozgJP,9,2,8,6438
oYBeuulRsnhhYSxwuudp,DfuxKRwTTbloQigIyPPK,1,0,7,9906
FccKdLljKdNNEthxfNwy,lXZVpANQMjagsgdoqTDh,11,2,2,824
xAhBYPkXAmUgsaSchQVN,RqVQmlULIwJSICKMbVej,16,0,3,5785
lNqrHudoGUugbRBbhwHB,ECSZxcbFXJaDraWDbkKD,14,1,4,9083
UERREwpqFMLjDsxXZBVx,nVaWEGoqrcoBAOdBtmKy,1,1,5,6891
FNmgBlZFInfQWtfUtpMx,mcLOvrQrynGXBvnaELrm,17,0,5,5176
foHGzNWWScKRXcRLHSlU,BrqaNWDMoBITsvyYceOG,10,9,2,4447
